<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  195    1429    1.190162e-03    0.000e+00    1.787e+00    5.441e-05
  196    1442    1.187832e-03    0.000e+00    2.298e+00    5.157e-06
  197    1448    1.189141e-03    0.000e+00    1.684e+00    4.678e-06
  198    1456    1.186275e-03    0.000e+00    1.818e+00    3.693e-05
  199    1462    1.188505e-03    0.000e+00    2.040e+00    1.703e-05
  200    1468    1.188160e-03    0.000e+00    3.646e+00    6.221e-06
  201    1474    1.188378e-03    0.000e+00    3.520e+00    2.196e-05
  202    1482    1.214160e-03    0.000e+00    2.661e+00    2.749e-04
  203    1488    1.139096e-03    0.000e+00    7.063e+00    2.079e-04
  204    1494    1.101167e-03    0.000e+00    3.601e+00    8.489e-05
  205    1504    1.000298e-03    0.000e+00    2.242e+00    7.128e-05
  206    1510    8.103203e-04    0.000e+00    2.802e+00    1.286e-03
  207    1516    5.830416e-04    0.000e+00    2.350e+00    7.046e-04
  208    1523    2.636604e-04    0.000e+00    2.166e+00    6.578e-04
  209    1529    1.941108e-04    0.000e+00    1.710e+00    3.664e-04
  210    1535    1.837808e-04    0.000e+00    1.527e+00    4.627e-05

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  211    1544    1.841607e-04    0.000e+00    1.499e+00    6.289e-06
  212    1550    1.857161e-04    0.000e+00    1.482e+00    1.563e-05
  213    1556    1.969370e-04    0.000e+00    1.297e+00    3.241e-05
  214    1562    1.909341e-04    0.000e+00    1.328e+00    3.691e-05
  215    1568    1.831831e-04    0.000e+00    1.751e+00    6.058e-05
  216    1574    1.462002e-04    0.000e+00    4.300e-01    3.571e-04
  217    1580    1.321436e-04    0.000e+00    6.885e-01    1.520e-04
  218    1588    1.280051e-04    0.000e+00    8.326e-01    1.155e-04
  219    1594    1.255330e-04    0.000e+00    9.235e-01    7.704e-05
  220    1600    1.260839e-04    0.000e+00    7.723e-01    3.398e-05
  221    1606    1.262081e-04    0.000e+00    7.491e-01    9.038e-06
  222    1612    1.278469e-04    0.000e+00    9.172e-01    2.665e-05
  223    1618    1.294143e-04    0.000e+00    8.452e-01    7.798e-06
  224    1624    1.293920e-04    0.000e+00    9.141e-01    7.124e-06
  225    1630    1.282048e-04    0.000e+00    9.818e-01    3.324e-05
  226    1636    1.275168e-04    0.000e+00    9.154e-01    8.457e-06
  227    1642    1.276756e-04    0.000e+00    9.011e-01    1.006e-05
  228    1648    1.274111e-04    0.000e+00    1.304e+00    9.359e-06
  229    1654    1.269616e-04    0.000e+00    1.079e+00    1.647e-05
  230    1660    1.231685e-04    0.000e+00    6.505e-01    4.110e-05
  231    1666    1.221548e-04    0.000e+00    8.849e-01    6.808e-05
  232    1679    1.213719e-04    0.000e+00    5.730e-01    2.303e-06
  233    1686    1.213173e-04    0.000e+00    5.723e-01    1.683e-05
  234    1695    1.210985e-04    0.000e+00    3.767e-01    1.259e-06
  235    1701    1.220522e-04    0.000e+00    4.911e-01    4.934e-05
  236    1712    1.244934e-04    0.000e+00    5.801e-01    8.287e-06
  237    1719    1.267368e-04    0.000e+00    3.730e-01    1.479e-04
  238    1725    1.227546e-04    0.000e+00    3.935e-01    1.241e-04
  239    1731    1.156354e-04    0.000e+00    3.494e-01    1.894e-04
  240    1737    1.176323e-04    0.000e+00    4.502e-01    6.135e-05

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  241    1743    1.334206e-04    0.000e+00    5.677e-01    4.857e-04
  242    1753    1.314291e-04    0.000e+00    4.693e-01    1.245e-05
  243    1759    1.014022e-04    0.000e+00    3.191e-01    7.559e-04
  244    1765    1.097821e-04    0.000e+00    4.812e-01    1.676e-05
  245    1771    1.119568e-04    0.000e+00    1.269e+00    9.276e-05
  246    1779    1.197507e-04    0.000e+00    6.471e-01    5.554e-04
  247    1785    1.222374e-04    0.000e+00    1.076e+00    3.557e-04
  248    1796    1.142233e-04    0.000e+00    1.376e+00    2.077e-04
  249    1802    1.230726e-04    0.000e+00    3.206e-01    3.689e-05
  250    1808    1.588893e-04    0.000e+00    2.719e-01    1.474e-04
  251    1814    1.595487e-04    0.000e+00    4.399e-01    8.004e-05
  252    1824    1.513326e-04    0.000e+00    7.688e-02    1.838e-05
  253    1833    1.466891e-04    0.000e+00    3.330e-01    3.930e-05
  254    1839    1.404758e-04    0.000e+00    2.829e-01    3.827e-04
  255    1845    1.741793e-04    0.000e+00    1.136e+00    7.804e-04
